judul
Perancangan Aplikasi Wedding Organizer Berbasis Android
Rancang Bangun Aplikasi Jasa Service Peralatan Elektronik Berbasis Android
Aplikasi Android untuk Pengecekan Status KTP Elektronik
Pengembangan Aplikasi Katalog Elektronik Barbershop Berbasis Web
Perancangan Electronic Catalogue Online Sebagai Media Prmosi Wisata Industri
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Sistem Informasi Sarana dan Prasarana Pendidikan Anak Usia Dini Menggunakan Metodologi Extreme Programming
Rancang Bangun Aplikasi Booking dan Transaksi Barbershop Berbasis Web
Rancang Bangun Sistem Informasi Pengelolaan Rumah Kos Deo Garut Berbasis Web
Media Pembelajaran Rumah Adat Indonesia Berbasis Android Menggunakan Algoritma Fisher Yates Shuffle
Designing software product with Google Ventures design sprint framework in startup
Efektifitas Model Self Management Behavior Terhadap Pengendalian Gula Darah Puasa Pada Pasien DM Di Kelompok Prolanis Kota Bandung Tahun 2019
Perancangan Sistem Informasi Pengelolaan Alumni Perguruan Tinggi
Analisis Semantik pada Penamaan Penginapan di Kabupaten Banyumas
Pengembangan Aplikasi Sistem Pakar Diagnosis Penyakit Dan Hama Pada Tanaman Padi
Perancangan Aplikasi Pengelolaan Surat Masuk Surat Keluar dan Agenda Surat
PERBANDINGAN PERIBAHASA JEPANG DENGAN PERIBAHASA SUNDA TENTANG PERILAKU MANUSIA Linguistik Kognitif
PERANAN PERUSAHAAN MODAL VENTURA SEBAGAI LEMBAGA PEMBIAYAAN DALAM MEMBANTU PENGEMBANGAN USAHA STUDI KASUS PADA PT. SARANA JATENG VENTURA
Design of human resource information system for micro small and medium enterprises
Architecture information system for zakat infaq and sadaqah management institutions
Designing smart dashboard system towards digital leadership in franchise organizations
Microservice architecture design for autograder using distributed architecture
Requirement analysis for autograder system using use case model
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Designing software product with Google Ventures design sprint framework in startup
Design of decision support system for blood analysis
Comparative analysis of decision tree algorithms: Random forest and C4. 5 for airlines customer satisfaction classification
Design of human resource information system for micro small and medium enterprises
Weather data processing application system web-based for pest control of rice plants diseases
Design of subsidized fertilizer prediction information system with safety stock methodology
Information system design of data bank population using Rapid Application Development
Design of emergency response assessment system using Feature-Driven Development approach
Designing the HRIS digital dashboard model using a CBHRM approach
Analisa dan Perancangan Warehouse Inventory System Untuk UMKM Berbasis Multi Tenant
Sundanese Language Level Detection Using Rule-Based Classification: Case Studies On Twitter
Business Process Model and Notation BPMN Donat Madu Cihanjuang
The proposed information system design to improve new students
Information System for Management Prosperity Council of Mosque
Development of an online system for reporting service problems of state-owned companies
The development of sign language learning media using multimedia systems
The proposed guest verification information system design for the residential complexes
Design Of Knowledge Management System To Improve Employee Capabilities In Organizations
E-Counseling For University Alumni Career
Designing software product with Google Ventures design sprint framework in startup
RANCANG BANGUN SISTEM PENJADWALAN PRAKTIKUM SECARA ONLINE Studi Kasus di Sekolah Tinggi Teknologi Garut
Sistem Pendukung Keputusan Penilaian Kinerja Dosen Menggunakan Metode Weighted Product Studi Kasus: Stmik Pontianak
Sistem pendukung keputusan kelayakan penerimaan bantuan beras miskin dengan metode weighted product di kelurahan karikil kecamatan mangkubumi kota tasikmalaya
Sistem Pendukung Keputusan Kenaikan Jabatan Karyawan Plaza Asia Dengan Menggunakan Metode Weighted Product
Aplikasi Pakar Untuk Diagnosa Penyakit Kulit Menggunakan Metode Forward Chaining Di Al Arif Skin Care Kabupaten Ciamis
Implementasi algoritma k-means cluster untuk rekomendasi pekerjaan berdasarkan pengelompokkan data penduduk
Implementasi Tanda Tangan Digital Menggunakan RSA dan SHA-512 Pada Proses Legalisasi Ijazah
Klasifikasi Penerimaan Mahasiswa Baru Menggunakan Algortima C4. 5 Dan Adaboost Studi Kasus: STMIK XYZ
Implementasi Algoritma K-Means Dan Fp-Growth Untuk Rekomendasi Bimbingan Belajar Berdasarkan Segmentasi Akademik Siswa
Sistem Pendukung Keputusan Pemilihan Siswa Teladan Menggunakan Metode Simple Additive Weighting Studi Kasus: Di Smp Negeri 3 Tasikmalaya
Pemetaan Daerah Rawan Kriminal Berbasis Web Di Wilayah Hukum Pengadilan Negeri Tasikmalaya
The IMPLEMENTASI CAESAR CIPHER & ADVANCED ENCRYPTION STANDAR AES PADA PENGAMANAN DATA PAJAK BUMI BANGUNAN
Implementasi Skema QR-Code dan Digital Signature menggunakan Kombinasi Algoritma RSA dan AES untuk Pengamanan Sertifikat Elektronik
Aplikasi Pakar Untuk Mengidentifikasi Karakteristik Gaya Belajar Dengan Menerapkan Modalitas Vark
PERANCANGAN APLIKASI PENAGIHAN ANGSURAN KREDIT BERBASIS ANDROID PADA PERUSAHAAN PEMBIAYAAN
SISTEM PENDUKUNG KEPUTUSAN PENILAIAN KINERJA KARYAWAN UNTUK KENAIKAN JABATAN PADA PD BPR ARTHA SUKAPURA MENGGUNAKAN METODE PROFILE MATCHING
Rancang Bangun Dan Implementasi Server Voip Dengan Memanfaatkan IP Publik Studi Kasus: SMK Negeri 2 Tasikmalaya
Implementasi AHP dan TOPSIS Untuk Proses Penentuan Pembimbing Tugas Akhir Mahasiswa
SISTEM PAKAR DIAGNOSIS PENYAKIT GANGGUAN MENTAL PADA ANAK MENGGUNAKAN METODE CERTAINTY FACTOR DAN FORWARD CHAINING BERBASIS WEB
PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN PENERIMA BANTUAN REHABILITASI RUMAH TIDAK LAYAK HUNI KABUPATEN TASIKMALAYA
SISTEM PAKAR DIAGNOSA TINGKAT RETARDASI DOWN SYNDROME PADA ANAK MENGGUNAKAN METODE CERTAINTY FACTOR
ALTERNATIVE DIA UNTUK REKOMENDASI TEMPAT PRAKERIN DI SMKN BANTARKALONG
Aplikasi Sistem Pakar Tes Kepribadian Penerapan Teori Myers Briggs Type Indicator Berbasis Web
SISTEM INFORMASI GEOGRAFIS PEMETAAN PENGRAJIN KERAJINAN TANGAN DI KABUPATEN TASIKMALAYA BERBASIS WEB
SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN PENERIMA BEASISWA DI STISIP TASIKMALAYA MENGGUNAKAN METODE WEIGHTED PRODUCT
Sistem Pakar Tindak Pidana Narkotika Menggunakan Metode Forward Chaining
Implementasi Visi Komputer Untuk Mengidentifikasi Mobilitas Kendaraan Pada Citra Jalan Raya
Sistem Informasi Geografis Pelayanan Kesehatan Di Tasikmalaya Berbasis Web
Sistem Pendukung Keputusan Pemilihan Siswa Teladan Menggunakan Metode Simple Additive Weighting Studi Kasus di Di SMP Negeri 3 Tasikmalaya
Aplikasi Pakar Untuk Diagnosa Penyakit Kulit Menggunakan Metode Forward Chaining Di Al Arif Skin Care Kabupaten Ciamis
Sistem Pendukung Keputusan Pemberian Kredit Usaha Rakyat KUR Menggunakan Metode Weighted Product
Algoritma C4. 5 Untuk Klasifikasi Pola Pembayaran Kredit Motor Pada Perusahaan Pembiayaan Leasing
Penerapan Algoritma C4. 5 Untuk Klasifikasi Pola Penjurusan di Sekolah Menengah Kejuruan SMK Kota Tasikmalaya
Implementasi Tanda Tangan Digital Menggunakan RSA dan SHA-512 Pada Proses Legalisasi Ijazah
Perancangan Media Informasi Akademik Siswa Berbasis Android
Sistem Pendukung Keputusan Pemberian Kredit Usaha Rakyat KUR Menggunakan Metode Weighted Product Studi Kasus: PT BPR Arta Jaya Mandiri Tasikmalaya
Implementation of K-Means Algorithm with Distance of Euclidean Proximity in Clustering Cases of Violence Against Women and Children
Sistem Informasi Inventori Barang Laboratorium Komputer Berbasis Android di STMIK Tasikmalaya
The IMPLEMENTASI CAESAR CIPHER & ADVANCED ENCRYPTION STANDAR AES PADA PENGAMANAN DATA PAJAK BUMI BANGUNAN
Implementasi Skema QR-Code dan Digital Signature menggunakan Kombinasi Algoritma RSA dan AES untuk Pengamanan Sertifikat Elektronik
PERANCANGAN APLIKASI PENAGIHAN ANGSURAN KREDIT BERBASIS ANDROID PADA PERUSAHAAN PEMBIAYAAN
Implementasi AHP dan TOPSIS Untuk Proses Penentuan Pembimbing Tugas Akhir Mahasiswa
IMPLEMENTASI KRIPTOGRAFI SUPERENKRIPSI VIGENERE CIPHER DAN ADVANCED ENCRYTION STANDARD AES PADA PENGAMANAN DATA RIWAYAT PASIEN RUMAH SAKIT
Impementasi Algoritma C 4.5 dan Prinsip 6C untuk Klasifikasi Kualitas Kredit pada Perusahaan Pembiayaan
APLIKASI SISTEM PAKAR UNTUK MENDIAGNOSA GANGGUAN KEJIWAAN BIPOLAR DISORDER MENGGUNAKAN METODE FORWARD CHAINING
Sistem Penunjang Keputusan Penetapan Aparat Perangkat Desa Dengan Metode Matching Profile
Sistem Informasi Geografis Pemetaan Hutan Rakyat Kabupaten Tasikmalaya Berdasarkan Klasifikasi Sumber Daya Alam
Notifikasi Network Intrusion Detection System Menggunakan Media Aplikasi Telegram Studi Kasus: Kantor Imigrasi Tasikmalaya
Pengembangan Aplikasi Pupuh Sunda Berbasis Android Menggunakan Intel XDK
Aplikasi Pengelolaan Rumah Berkas Wajib Pajak di Kantor Pelayanan Pajak Pratama
APLIKASI PERENCANAAN ANGGARAN BELANJA PADA PERUSAHAAN KONSULTAN PROYEK PEMBANGUNAN GEDUNG PERKANTORAN
Design of the automatic shoe dryer
Prototype of decision support system for wind detection based on optocoupler and magnetic sensor
Pan-tilt modelling for face detection
Distributed architecture for autograding system
Webcam Application for Classrooms Monitoring
Membentuk Cara Berpikir Komputasi Siswa di Garut Dengan Tantangan Bebras
Fluids level monitoring using Zigbee
Ultrasonic sensor for monitoring corn growth based on Raspberry Pi
Microservice architecture design for autograder using distributed architecture
Edugame development for introduction chord basic guitar
Smart Building: A Literature Review
Implikasi Pedagogis dari QS. An-Naml Ayat 60-64 sebagai Landasan Metode Pengulangan dalam Pembelajaran Aqidah
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Kajian Adiksi Internet dan Adiksi Media Sosial dari Sisi Filsafat Sains
Rancang Bangun Media Pembelajaran Obat Tradisional Untuk Penyakit Kulit Berbasis Android
Media Pembelajaran Pencegahan Penyakit Stunting Pada Balita Berbasis Android
Rancang Bangun Media Pembelajaran Mengenal Anggota Tubuh Manusia Menggunakan Teknologi Augmented Reality Untuk TK/Paud Berbasis Android
Sosialisasi Cegah Covid-19 Teknologi dan Literasi Digital Desa Mekarjaya
Steering control design and simulation of hybrid underwater glider
Depth control design and simulation of hybrid underwater glider
Pengaruh Pembebanan Terhadap Tegangan dan Frekuensi Pada Generator 3 Fasa
PENGEMBANGAN MODUL FISIKA GELOMBANG BERBASIS DISCOVERY LEARNING PADA MATERI GELOMBANG SFERIS DAN SILINDRIS DENGAN BERBANTU SIMULASI MATLAB
Pengembangan game edukasi pengenalan nama hewan dan habitatnya dalam 3 bahasa sebagai media pembelajaran berbasis multimedia
Perancangan Aplikasi Multimedia Interaktif Company Profile Generic Studi Kasus CV. GANETIC
Pengembangan Aplikasi Pengenalan Kesenian Daerah Indonesia Sebagai Media Pembelajaran Berbasis Android
Pengembangan Aplikasi Pembelajaran Iqra’dan Tajwid Berdasarkan Metode Asy-Syafi’i Menggunakan Sistem Multimedia
Pembuatan Game Edukasi Pengenalan Karies Untuk Anak Usia 6–8 Tahun
Pengembangan aplikasi pengenalan dasar bahasa isyarat sebagai media pembelajaran berbasis android
Pembuatan arang aktif dari tempurung biji jarak pagar
Perancangan Game Puzzle Untuk Pembelajaran Menggunakan Metodologi Multimedia
Pengembangan Aplikasi Tata Cara Wudhu dan Shalat Untuk Anak Menggunakan Sistem Multimedia
Perancangan Dan Pembuatan Game Edukasi Pencegahan Nyamuk Demam Berdarah Berbasis Android
Pengembangan Aplikasi Komik Hadits Berbasis Multimedia
Pengembangan Aplikasi Pengenalan Huruf Angka Dan Warna Untuk Anak Usia Dini Berbasis Android
Pengembangan Sistem Multimedia Pembelajaran Iqro’Menggunakan Metode Luther
Rancang Bangun Aplikasi Pengenalan Dasar Bahasa Arab Sebagai Media Pembelajaran Berbasis Android
Pengembangan aplikasi seratus satu hadits tentang budi luhur berbasis multimedia
Pengembangan aplikasi tata cara wudhu dan shalat untuk anak menggunakan sistem multimedia
Design of geographic information system for tracer study
Rancang Bangun Profil Wisata Dengan Sistem Informasi Geografis Perum Perhutani Kesatuan Pemangku Hutan Garut
Pembuatan Arang Aktif dari Tempurung Biji Jarak Pagar Jatropha curcas L.
Pengembangan Aplikasi Fiqih Jual Beli Hutang Piutang dan Riba dengan Menggunakan Sistem Multimedia
Pengembangan multimedia pembelajaran pendidikan agama Islam dan budi pekerti kelas IV sekolah dasar menggunakan metode Luther
Rancang Bangun Aplikasi Pengenalan Dasar Bahasa Arab Sebagai Media Pembelajaran Berbasis Multimedia
Perancangan Web Kelas Online Dengan Metodologi WISDM Berbasis Learning Manajement System di MAN Pameungpeuk
The introduction of solar system using augmented reality technology
Pengembangan aplikasi pengenalan huruf angka dan warna untuk anak berbasis multimedia
Pengembangan Aplikasi Panduan Mendaki Gunung Menggunakan Metodologi Sistem Multimedia Luther-Sutopo
Geographical information system of fire incidents data monitoring
Perancangan Media Pembelajaran Interaktif Untuk Anak Autis di Sekolah Luar biasa
Pengembangan Aplikasi Pembagian Waris Islam Berbasis Android
Kegiatan Kuliah Kerja Nyata Untuk Peningkatan Kemampuan TIK Masyarakat Pasirwangi Garut
Media Pembelajaran Pengenalan Komponen Komputer Berbasis Multimedia Dengan Pendekatan Metodologi R&D
How mobile application can increase moslem worship activities
Design of culinary information system based on android using multimedia development life cycle
Body weight anthropometry expert system for disease diagnosis
Rancang Bangun Game Edukasi Sistem Tata Surya
Rancang Bangun Aplikasi Ibadah Dzikir Dan Doa Harian Berbasis Android
Pengembangan Aplikasi Edukasi Pencegahan Penyakit Demam Berdarah Berbasis Android
Rancang Bangun Game Edukasi Sistem Tata Surya
Pengembangan Media Pembelajaran Interaktif Studi Kasus Mata Pelajaran Ilmu Pengetahuan Sosial Sebagai Pendukung Pembelajaran di Sekolah Luar Biasa
Pengembangan Aplikasi Tuntunan Shalat Malam Menggunakan Sistem Multimedia
Rancang Bangun Aplikasi Fasilitas Ibadah Keagamaan Berbasis Android
Membentuk Cara Berpikir Komputasi Siswa di Garut Dengan Tantangan Bebras
Penyadaran Masyarakat Desa Sirnajaya Garut Terkait Pemanfaatan Internet Dengan Program Pandu Digital Goes To Villages
Edugame for prevention of dengue fever diseases
Designing instructional multimedia system for scout activities
Aplikasi Dasar Menggambar Untuk Anak
Pengembangan Sistem Informasi Administrasi Kependudukan di Kantor Kelurahan Berbasis Multimedia
RANCANG BANGUN MEDIA INTERAKTIF MUROJA’AH MATAN JURUMIYYAH BERBASIS ANDROID
PENGEMBANGAN APLIKASI PENGENALAN FIQIH DARAH WANITA DENGAN MENGGUNAKAN SISTEM MULTIMEDIA
Web-based geographic information system for mapping religious tourism object
Edugame development for introduction chord basic guitar
The development of sign language learning media using multimedia systems
Development of Emotourist as a tourist face that reflects emotional response
Android-based learning media design simulation license driving motor vehicles
Development of educational games for learning waste management
Geographical Information System distribution of health insurance and employment administrator office
Rancang Bangun Aplikasi Penyedia Informasi Jasa Terapi Syar’i Berbasis Web
Rancang Bangun Media Pembelajaran Sejarah Pahlawan Wanita Indonesia Berbasis Android
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Pengenalan Komponen Komputer Menggunakan Teknologi Augmented Reality
Rancang Bangun Role Playing Game Budaya dan Pariwisata Garut
Rancang Bangun Aplikasi Game Teka Teki Silang Peribahasa Bahasa Sunda
Peningkatan Pengetahuan Tentang Covid-19 Literasi Digital dan New Normal Masyarakat Kelurahan Pakuwon Garut
Rancang Bangun Media Pembelajaran Sistem Pernapasan Menggunakan Marker-Based Augmented Reality
Pendekatan MDLC untuk Media Pembelajaran Pengenalan HIV/AIDS Berbasis Android
Rancang Bangun Aplikasi Pengenalan Mata Uang Berbasis Multimedia
Aplikasi Edukasi Rukun Islam Untuk Anak dengan Pendekatan Multimedia Development Life Cycle
PERANCANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK ANAK AUTIS0DI SEKOLAH LUAR0BIASA
Perancangan Sistem Aplikasi Pendaftaran Kursus Ilmu Pemerintahan
PENGEMBANGAN APLIKASI NILAI-NILAI PENDIDIKAN KARAKTER DALAM KITAB AL-AKHLAQ LIL BANIN BERBASIS ANDROID
PENGEMBANGAN MEDIA PEMBELAJARAN MERAJUT TEKNIK KNITTING MENGGUNAKAN SISTEM MULTIMEDIA BERBASIS DESKTOP
RANCANG BANGUN MEDIA PEMBELAJARAN INTERAKTIF AUTODESK 3DSTUDIO MAX MENGGUNAKAN METODOLOGI PENGEMBANGAN MULTIMEDIA VERSI LUTHER-SUTOPO
STTG Jurnal Algoritma
PEMBUATAN ARANG AKTIF DARI TEMPURUNG BIJI JARAK PAGAR Manufacture of Activated Charcoal from] atropha Seed Shell Halaman: 143-162
Pengembangan Short Message Service SMS Gateway Layanan Informasi Akademik di SMK YPPT Garut
Pengembangan Aplikasi Zakat Berbasis Android Menggunakan Metode Prototype
Pengembangan Aplikasi Pembelajaran Iqra’dan Tajwid Berdasarkan Metode Asy-Syafi’i Menggunakan Sistem Multimedia
Pengembangan Sistem Informasi Pemesanan Kamar Hotel Berbasis Web Menggunakan Metodologi Rapid Application Development
Pengembangan Aplikasi Komik Hadits Berbasis Multimedia
Rancang Bangun Aplikasi Fiqih Ibadah Shalat Berbasis Android
Content website of small and medium enterprises
Pengembangan aplikasi seratus satu hadits tentang budi luhur berbasis multimedia
Pengembangan Aplikasi Katalog Online Di Perpustakaan Sekolah Tinggi Teknologi Garut
Rancang Bangun Aplikasi Pembayaran Sumbangan pembinaan pendidikan SPP di SMA Ciledug Garut Menggunakan Metodologi Berorientasi Objek Unified Approach UA
Pengembangan Aplikasi Pendaftaran Muzakki dan Mustahik berbasis Web di Badan Amil Zakat Daerah Kabupaten Garut
Perancangan Web Kelas Online Dengan Metodologi WISDM Berbasis Learning Manajement System di MAN Pameungpeuk
Pertumbuhan dan Hasil Kentang Dataran Tinggi Rejang: Teknik Pemulsaan dan Pemupukan Bokashi tehadap Pertumbuhan Gulma
Model Pembelajaran Computer Support Collaborative Learning CSCL
Pengembangan Aplikasi Komik Hadis Berbasis Android
Pengembangan Aplikasi Pembagian Waris Islam Berbasis Android
Revealing student satisfaction related to academic information services using the Kano model
How mobile application can increase moslem worship activities
Electronic catalogue for mapping mosque potencies
Rancang Bangun Aplikasi Ibadah Dzikir Dan Doa Harian Berbasis Android
Pengembangan Short Message Service SMS Gateway Layanan Informasi Akademik di SMK YPPT Garut Vol 09 No 11
Membentuk Cara Berpikir Komputasi Siswa di Garut Dengan Tantangan Bebras
Penyadaran Masyarakat Desa Sirnajaya Garut Terkait Pemanfaatan Internet Dengan Program Pandu Digital Goes To Villages
Rancang Bangun Aplikasi Media Interaktif Fiqih Pengurusan Jenazah Berbasis Android
Designing smart dashboard system towards digital leadership in franchise organizations
Pengembangan Aplikasi QNA Sebagai Jembatan Komunikasi Pengelola Wisata Industri Dengan Masyarakat
Perancangan Rencana Kerja Pembangunan Daerah RKPD
Multimedia system model for electrical circuits on android mobile devices
Weather data processing application system web-based for pest control of rice plants diseases
Development of geographic information systems for Small and Medium Enterprise centres
Edugame development for introduction chord basic guitar
Design of subsidized fertilizer prediction information system with safety stock methodology
Development of educational games for learning waste management
Geographical Information System distribution of health insurance and employment administrator office
Development of an online system for reporting service problems of state-owned companies
Analisa Perancangan Sistem Manajemen Pengunjung Sekolah
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Pengembangan Aplikasi Katalog Elektronik Untuk Membantu Masyarakat Mendapatkan Informasi Madrasah
Designing the HRIS digital dashboard model using a CBHRM approach
Disaster management system on mobile environment
Perancangan Aplikasi Pemetaan Lokasi Kuliner Berbasis Location Based Service dan Geotagging Pada Android
Perancangan Sistem Informasi Pengelolaan Administrasi Keuangan Sekolah
PERANCANGAN APLIKASI REKAPITULASI RETRIBUSI PENDAPATA ASLI DAERAH DI DINAS PERHUBUNGAN KABUPATEN GARUT
PENGEMBANGAN SISTEM INFORMASI PEMESANAN HOTEL BERBASIS WEB MENGGUNAKAN METODOLOGI RAPID APPLICATION DEVELOPMENT PADA HOTEL BAYU ALAM GARUT
PENGEMBANGAN APLIKASI LAPORAN SURAT PERTANGGUNGJAWABAN ANGGARAN PADA DINAS PENDIDIKAN KAB. GARUT MENGGUNAKAN METODOLOGI BERORIENTASI OBJEK RIPPLE
Perancangan Sistem Pengolahan Data Presensi Pegawai Memanfaatkan Teknologi Fingerprint Di Sekolah Tinggi Teknologi Garut
Perancangan Sistem Informasi Pembayaran Dana Insentif Pegawai Di STT-Garut
Pengembangan Paket Pembelajaran Ipa Fisika Dengan Model Dick Carey dan Carey Melalui Pendekatan Kontekstual Untuk Siswa Kelas VIII SMP Negeri 1 Montasik Kabupaten Aceh Besar
Perancangan Aplikasi Perangkat Lunak Pengelolaan Data Bank Sampah di PT. Inpower Karya Mandiri Garut
Perencanaan Pengembangan Pusat karir sebagai penunjang Sumber daya Manusia di sekolah Tinggi Teknologi Garut
Rancang Bangun Sistem Informasi Geografis Pariwisata Dan Industri Berbasis Web
Pengembangan Aplikasi Tracer Study STT-Garut
Design of geographic information system for tracer study
Perancangan Perangkat Lunak Sistem Informasi Rekam Medis Berbasis Client-Server Studi Kasus Klinik Cipanas
E-commerce based on the Marketplace in efforts to sell agricultural products using Xtreme programming approach
Perancangan monitoring absensi dengan fingerprint berbasis online
Perancangan Arsitektur Enterprise Sistem Informasi Dengan Menggunakan TOGAF-ADM Studi Kasus Dinas Perhubungan Kab. Garut
Migration planning for e-Government
Perencanaan Sistem Informasi Administrasi di Pendidikan Anak Usia Dini
Geographical information system of fire incidents data monitoring
Pengembangan Aplikasi Lowongan Kerja Career Development Center Di Sekolah Tinggi Teknologi Garut
Perancangan Aplikasi Persediaan Barang dan Transaksi Penjualan Barang di Alya Store
Rancang Bangun Sistem Informasi Pengolahan Data Ternak di Perusahaan Dagang Perusahaan Pengengembangan Usaha Ternak Indonesia PD. PPUTI
Rancang Bangun Aplikasi Bank Soal Program Studi Teknik Informatika Sekolah Tinggi Teknologi Garut
Kegiatan Kuliah Kerja Nyata Untuk Peningkatan Kemampuan TIK Masyarakat Pasirwangi Garut
Rancang Bangun Sistem Informasi Geografis Monitoring Data Kebakaran di Dinas Pemadam Kebakaran
Perancangan Aplikasi Kemahasiswaan Sekolah Tinggi Teknologi Garut Berbasis Web
Rancang Bangun Aplikasi Inventory Sayuran Berbasis Desktop di Perusahaan CV. Garut Power
Perancangan Sistem Informasi Laporan Surat Pertanggungjawaban Belanja Operasional Di Unit Pelayanan Teknis Dinas Pendidikan Kecamatan Banyuresmi
Rancang Bangun Sistem Multimedia Kegiatan Keagamaan Masyarakat Indonesia Berbasis Android
Rancang Bangun Aplikasi Fasilitas Ibadah Keagamaan Berbasis Android
Membentuk Cara Berpikir Komputasi Siswa di Garut Dengan Tantangan Bebras
Kuliah Kerja Nyata Untuk Meningkatkan Pengetahuan Media Sosial di Desa Sukaratu
Media Pembelajaran Interaktif Pengenalan Alat Pencernaan Manusia Dengan Perangkat Mobile
PERANCANGAN WEBSITE RADAR GARUT DI PERUSAHAAN WAHANA SEMESTA GARUT
PENGARUH AKUNTANSI KONSERVATIF RISIKO PERUSAHAAN DAN STRUKTUR MODAL TERHADAP EARNINGS RESPONSE COEFFICIENT
PERANCANGAN APLIKASI PERANGKAT LUNAK PERBENDAHARAAN BUKU PERPUSTAKAAN STUDI KASUS DI PENGADILAN NEGERI GARUT
Multimedia system model for electrical circuits on android mobile devices
Development of Emotourist as a tourist face that reflects emotional response
Information system design of data bank population using Rapid Application Development
Design of employee presence system using Radio Frequency Identification technology
Development of educational games for learning waste management
Geographical Information System distribution of health insurance and employment administrator office
Rancang Bangun Media Pembelajaran Sejarah Pahlawan Wanita Indonesia Berbasis Android
E-Counseling For University Alumni Career
Pelatihan Aplikasi Pembayaran Non Tunai Untuk Menurunkan Risiko Penularan Covid-19 di Garut
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
